"Job Title","Salary","Location","Job Posted","Job Description"
"Area Manager","Market related","South Lanarkshire","25 November","Brightwork have a fantastic opportunity for an Area Manager to join their client's successful manufacturing company based in South Lanarkshire. The right candidate will lead and develop a shift-based manufacturing team to..."
"Marketing Account Executive","Up to £28,000 excellent benefits package","Glasgow","25 November","This is a fabulous opportunity to join one of the countries fastest growing businesses in their sector, with deep rooted family values. You will have the opportunity to have genuine career progression..."
"Legal Administrator","","Glasgow","25 November","Do you have direct administration experience within Immigration, along with a friendly and helpful nature? Are you looking for a new opportunity in order to progress your career? I have a fantastic opportunity for someone..."
"Customer Service Representative - German Desk","","Glenrothes","25 November","A Customer Relationship Executive with fluent German language skills is required for this well established company in Fife to join their team communicating with business customers You will provide customers with a personal and..."
"HR Manager - VR/21100","£Available upon request","Aberdeen","25 November","Due to ongoing business developments, a HR Manager is required on a temporary basis to play an active role in a large TUPE project. You will report directly to the HR Director and work closely with the team of this dynamic and..."
"Customer Assistant - 21 To 30 Hours, Fort William","£9.00 with the ability to earn up to £10.10 per hour","Fort William","25 November","The variety and pace that comes with every shift as a Customer Assistant at Lidl needs dedication and flexibility. Our stores are open Monday to Sunday so you'll need to be able to work weekends, as well as weekday shifts..."
"Procurement Administrator","£19000","Paisley","25 November","Anderson Knight are working exclusively with a industry leading business based in Hillington to recruit a Procurement Administrator. The role will be based within a busy procurement team, supporting the businesses clients and..."
"Team Member - Reception/44022065","Competitive","Dunfermline","25 November","We are looking for a reception team member to join our Premier Inn team! Reception Team Member - Premier Inn At Premier Inn, you'll create a guest's first impressions of our hotel - During check in, your..."
"Team Member - Kitchen/41019215","Competitive","Kilmarnock","25 November","We are looking for a Bar Team Member to join our Cookhouse & Pub team! Bar Team Member - Cookhouse & Pub At Cookhouse & Pub, we take care of every detail to make dining a great experience..."
"Ground Floor Team Member/44521635","£8.51 per hour","Edinburgh","25 November","We are looking for a Team Member to join our Premier Inn! 30 hours per week, £8.51 per hour. Team Member - Premier Inn Edinburgh Central (Lauriston Place) At Premier Inn you'll really help lead the way, setting..."
"Customer Assistant - 11 To 20 Hours, Fort William","£9.00 with the ability to earn up to £10.10 per hour","Fort William","25 November","The variety and pace that comes with every shift as a Customer Assistant at Lidl needs dedication and flexibility. Our stores are open Monday to Sunday so you'll need to be able to work weekends, as well as weekday shifts..."
"Customer Analysis & Pricing Manager","£Competitve","Edinburgh","25 November","You'll bring the ambition, we'll provide the opportunities Tesco has built its success - and its reputation - on a tradition of excellent service and dedication to the customer, but Tesco Bank is about..."
"PPI Quality Assurance","£Competitive","Glasgow","25 November","PPI Quality Assurance Analyst - Glasgow - Competitive Daily Rate on offer I am currently recruiting on behalf of a large banking operation, based in Glasgow City Centre, who are looking to add an experienced PPI Quality..."
"Trade Manager - Retail Banking","£Competitive","Edinburgh","25 November","You'll bring the ambition, we'll provide the opportunities Tesco has built its success - and its reputation - on a tradition of excellent service and dedication to the customer, but Tesco Bank is about..."
"ServiceNow Developer","£450.00 - £550.00 per day","Edinburgh","25 November","Your new company and role Our client is delivering an enterprise level, technologically advanced digital and business transformation. They are looking to take their current ServiceNow platform and review it with plans to..."
"Chief Marketing Officer","Up to £50,000","Edinburgh","25 November","Chief Marketing Officer Location: Edinburgh Salary: Up to £50,000 DOE Job type: Permanent Meraki Talent is currently recruiting for a talented and capable individual to join our exciting client, an innovative..."
"IT Technician - Windows/Networking - Perm - Bridge of Don -","32000-40000 Per Annum","Aberdeenshire","25 November","IT Technician - Windows/Networking - Perm - Bridge of Don - To 40K plus benefits Does a good mix of support and project tasks and working for a stable organisation based in Bridge of Don who can offer a competitive salary,..."
"Student Funding Administrator - 17½ Hours. Week FTC June 20","£22,585 per annum (pro-rata)","Glasgow","25 November","Inspirational Learning; Changing Lives VACANCY STUDENT FUNDING ADMINISTRATOR - 17½ HOURS PER WEEK FIXED TERM UNTIL JUNE 2020 An opportunity has arisen for a Student Funding Administrator to join the Student Funding..."
"Desktop Support Analyst","£25000.00 - £28000.00 per annum","Edinburgh","25 November","Edinburgh - Up to £28k - IT Support Analyst Your new company Your new company is a market leading company based on the outskirts of Edinburgh who currently have an opportunity for second line support analyst..."
"Accounts Administrator","£21000","Glasgow","25 November","Administrator Hillington Monday to Friday Hours - Monday to Friday, 9 - 5 Oliver Smith Recruitment are working in partnership with our key client in the Glasgow to hire an Accounts Administrator on a permanent basis..."
"Bookkeeper/Payroll","up to £24,000","Glasgow","25 November","An independent chartered accountancy firm, based in the Westend of Glasgow, currently requires an experienced Bookkeeper to join their dynamic team. The Company This small, established firm has vastly experienced Partners..."
"Financial Contractor","£300 - £350 per day","Glasgow","25 November","We are working on an amazing opportunity to join the regulatory reporting programme of a leading financial institution based in Glasgow. The Regulatory Reporting Programme Delivery team within Finance has responsibility for..."
